Symbol	h24u0hetero	h24u10hetero	h24u100hetero	h24u500hetero
symb3master_461	46.01	34.80	34.63	42.75
symb3master_462	20.66	24.77	28.29	25.53
symb3master_463	9.51	13.21	13.93	11.79
symb3master_464	431.56	308.61	296.10	265.94
symb3master_466	22.59	19.73	17.74	19.21
symb3master_467	58.18	51.53	48.98	55.80
symb3master_468	3.56	3.86	3.47	3.98
symb3master_469	21.05	26.47	26.09	25.40
symb3master_470	12.87	8.87	7.58	7.20
symb3master_471	177.30	158.33	169.65	153.20
symb3master_472	25.03	33.28	31.22	32.13
symb3master_473	4.77	11.40	10.67	8.48
symb3master_474	7.58	8.83	10.23	8.69
symb3master_475	12.29	9.41	10.96	12.55
symb3master_476	25.66	36.09	34.00	30.52
symb3master_477	4.73	4.47	4.72	5.26
symb3master_478	42.77	47.33	45.30	45.82
symb3master_479	1.13	1.30	1.35	1.37
symb3master_480	11.65	15.88	16.29	15.72
symb3master_481	10.25	10.21	10.55	10.49
symb3master_482	6.42	8.25	8.68	8.12
symb3master_483	5.71	8.22	7.27	5.54
symb3master_484	23.25	29.41	27.82	27.77
symb3master_485	32.26	34.28	35.70	34.82
symb3master_486	25.06	31.14	30.21	29.10
symb3master_487	51.97	54.37	55.47	56.47
symb3master_488	53.35	62.79	70.55	63.20
symb3master_489	198.85	229.87	236.93	214.53
symb3master_490	6.58	8.10	8.62	6.62
symb3master_491	118.52	107.26	118.03	120.30
symb3master_492	5.15	4.08	5.30	5.19
symb3master_493	1.74	1.95	2.54	2.77
symb3master_494	2.21	2.52	2.27	2.87
symb3master_495	12.83	11.98	14.53	13.11
symb3master_496	12.55	14.53	14.67	12.93
symb3master_497	7.07	8.79	8.81	8.92
symb3master_498	3.28	2.89	3.18	3.19
symb3master_499	9.30	8.76	10.15	11.37
symb3master_500	224.65	229.64	233.29	193.24
symb3master_501	11.94	10.74	10.35	9.73
symb3master_502	17.87	22.70	21.43	20.81
symb3master_503	122.71	87.60	90.67	112.23
symb3master_504	9.54	11.03	13.16	12.17
symb3master_505	16.37	20.42	18.47	17.97
symb3master_506	10.21	9.97	8.87	9.49
symb3master_507	13.97	19.55	18.06	16.10
symb3master_508	13.90	8.46	9.74	11.75
symb3master_509	10.63	16.13	13.44	11.19
symb3master_510	6.76	8.14	8.06	7.98
symb3master_511	24.95	17.23	20.08	21.81
symb3master_512	0.75	0.85	0.82	0.79
symb3master_513	15.75	12.89	15.21	18.79
symb3master_514	10.37	10.64	11.81	12.41
symb3master_515	63.69	91.93	116.52	112.91
symb3master_516	10.74	11.06	9.67	10.26
symb3master_517	21.90	28.41	24.15	23.19
symb3master_518	28.30	21.63	22.25	21.85
symb3master_519	8.62	4.40	5.01	6.61
symb3master_521	1.68	1.14	1.49	1.52
symb3master_522	10.67	11.26	12.36	12.32
symb3master_523	18.76	25.37	23.32	22.86
symb3master_524	21.46	22.03	20.49	21.91
symb3master_525	8.16	6.74	6.44	8.68
symb3master_526	8.40	4.86	5.22	6.06
symb3master_527	31.58	36.03	38.16	33.99
symb3master_528	35.04	23.30	25.35	31.57
symb3master_529	5.10	3.52	3.78	4.16
symb3master_530	2.64	3.78	3.45	4.17
symb3master_531	22.09	20.10	19.92	14.55
symb3master_532	11.85	7.31	5.59	5.46
symb3master_533	9.50	11.57	11.49	11.06
symb3master_534	19.42	29.44	28.72	24.48
symb3master_535	220.49	220.74	214.50	194.83
symb3master_536	24.92	22.98	22.15	23.68
symb3master_537	11.81	11.03	11.08	11.99
symb3master_538	20.45	26.72	26.61	24.16
symb3master_539	18.23	21.07	21.27	18.85
symb3master_540	7.98	10.82	11.17	10.53
symb3master_541	20.31	19.32	18.58	20.36
symb3master_543	10.41	12.20	9.75	6.89
symb3master_544	17.06	24.04	25.88	23.72
symb3master_545	22.28	19.98	19.64	20.60
symb3master_546	16.97	13.85	13.60	14.29
symb3master_547	56.55	60.09	63.36	57.97
symb3master_548	18.25	18.79	20.84	17.97
symb3master_549	17.27	14.13	15.07	16.21
symb3master_550	30.56	28.98	28.61	31.60
symb3master_551	9.42	11.12	9.22	11.03
symb3master_552	27.38	24.30	23.70	26.37
symb3master_553	12.88	11.93	12.06	13.42
symb3master_554	48.76	42.95	42.68	51.12
symb3master_555	39.86	44.66	46.77	46.61
symb3master_556	14.04	17.71	18.00	17.56
symb3master_557	8.63	6.15	6.24	6.58
symb3master_558	9.89	9.05	9.08	11.59
symb3master_559	14.55	20.34	19.97	18.15
symb3master_560	13.63	11.88	9.84	10.26
symb3master_561	29.01	32.92	31.11	31.63
symb3master_562	1.82	11.28	9.73	6.28
symb3master_563	84.65	75.94	83.07	80.53
symb3master_564	34.06	38.48	39.18	32.46
symb3master_566	51.63	49.86	47.23	43.63
symb3master_567	10.98	14.49	14.42	11.30
symb3master_568	41.23	46.88	42.66	47.41
symb3master_569	29.32	29.68	26.03	30.96
symb3master_570	24.17	21.23	22.20	23.80
symb3master_571	3.78	3.71	2.92	3.10
symb3master_572	13.59	10.52	12.56	14.38
symb3master_573	27.32	22.81	21.80	26.20
symb3master_574	11.14	11.63	12.10	11.45
symb3master_575	55.13	61.49	63.09	61.15
symb3master_576	22.71	29.63	28.97	25.07
symb3master_577	76.34	49.34	56.46	67.90
symb3master_578	33.42	29.38	29.25	33.33
symb3master_579	9.65	9.24	9.46	9.01
symb3master_580	115.60	100.36	106.71	113.68
symb3master_581	89.77	90.17	89.65	85.96
symb3master_582	11.50	13.76	15.29	13.34
symb3master_583	21.84	25.17	26.11	22.37
symb3master_584	18.49	19.81	20.62	18.01
symb3master_585	64.44	64.17	66.80	65.87
symb3master_586	15.86	16.25	14.14	12.89
symb3master_587	15.12	20.41	19.71	17.50
symb3master_588	29.96	23.00	23.21	29.11
symb3master_589	109.70	101.03	117.49	107.29
symb3master_590	19.49	18.53	20.31	23.76
symb3master_591	16.28	19.99	19.25	19.10
symb3master_592	3.42	2.85	3.11	3.64
symb3master_593	15.29	19.09	17.67	16.30
symb3master_594	1.92	1.88	1.69	2.02
symb3master_595	52.38	47.21	45.90	50.16
symb3master_596	19.43	17.00	16.82	20.42
symb3master_597	24.62	23.61	25.48	26.43
symb3master_598	107.46	97.54	97.86	105.24
symb3master_599	25.90	22.47	21.29	25.36
symb3master_600	28.61	37.05	31.14	32.55
symb3master_601	24.42	23.72	21.46	26.93
symb3master_602	8.97	6.74	6.01	7.49
symb3master_603	16.58	21.17	20.03	19.78
symb3master_604	4.01	4.64	4.54	5.12
symb3master_605	1.12	1.16	1.01	1.09
symb3master_606	118.12	119.64	121.30	118.49
symb3master_607	11.23	14.84	11.10	10.12
